#,Project,Category,time ,size,重要程度,Tags,tech stack,One-line Description,Affiliation / Context,Role,Primary Link,Secondary Link
10.0,SenseBox,Interaction,2024.0,big,1.0,Interaction; Fabrication; MR; Affective Computing,Landmark & Emotion Recognition · Python · Unity · Grasshopper · ZED Camera · Quest 3,Multimodal behavioral recognition + interaction framework for a mixed-reality workspace (3m steel-pipe installation),"Tongji University, instructor Prof. Chao Yan",Team Leader (interaction),https://www.ruyiyang.com/home/sensebox,https://github.com/Emmaruyi/Humanizing-MR
11.0,Whispering Fir,Interaction,2025.0,big,4.0,Interaction; Fabrication; Embedded; Sound,ESP32 Master-Slave · Embedded C · Spectrum Analysis · Ultrasonic Sensors,"Multisensory embedded pavilion: ESP32 master-slave, sound-reactive + proximity-based LED interaction","Tongji University, instructors Chao Yan & Feng Deng",Interaction team,https://www.ruyiyang.com/home/interactive-pavilion-fir-structure,https://github.com/Emmmmmmaa/FirForestLight_ESP
12.0,Street View Color,Urban,2023.0,big,1.0,Urban; Research; CV; Publication,Street View Scraping · Image Segmentation · Color Harmony Quantification · Python,Color harmony of historic buildings via street view imagery; SCI Q1 paper + SIGraDi paper + open dataset,Publications (Frontiers of Architectural Research; SIGraDi 2023),First author / researcher,https://www.ruyiyang.com/home/streetview-color,https://www.sciencedirect.com/science/article/pii/S2095263524000402
13.0,TreePlanter,Urban,2023.0,big,1.0,Urban; Research; GenAI; Publication,pix2pix · Diffusion Models · PyTorch · Grasshopper,Deep generative models predicting environmental effects of urban morphology and greenery,Publication (ResearchGate) + open-source code,Researcher,https://github.com/Emmmmmmaa/TreePlanter,https://www.researchgate.net/publication/373996202
14.0,Favela 4D & Metabolic Walking,Urban,2024.0,big,2.0,Urban; Research; CV; Deep Learning,Segformer/U-Net · LSTM · Satellite Imagery · Pedestrian Tracking,"Slum 3D-expansion analysis (Segformer, 79% IoU; LSTM prediction) and pedestrian behavior under weather (95%-accuracy shadow segmentation)",MIT Senseable City Lab,Visiting Student,https://www.ruyiyang.com/home/senseable-city-lab,
15.0,SoCity DAO - GreenCommute,Urban,2024.0,big,3.0,Urban; Research; ML; Software,LSTM Prediction · React,"Incentive system for green commuting, 100-person pilot","MIT Media Lab, City Science Group",Researcher / developer,https://www.ruyiyang.com/home/socity-dao,
17.0,Hengfu Vitality,Urban,2023.0,big,4.0,Urban; Data; GenAI,Data Analysis · pix2pix,Street-vitality factor analysis of Shanghai's Hengfu district + pix2pix 'viral facade' generator,Tongji University,Team member,https://www.ruyiyang.com/home/hengfu,
19.0,Y Chair,Fabrication,2024.0,big,4.0,Fabrication; Optimization; AI; MR,AI Generation · Gravity Sketch · MR-assisted Fabrication,"AI-driven performance-based tectonics; MR-assisted design, pipe bending and welding","Tongji CAUP studio, supervisors Chao Yan & Philip F. Yuan",Team member,https://www.ruyiyang.com/home/chair,
20.0,Membrane Pavilion,Fabrication,2023.0,big,4.0,Fabrication; Geometry; Structure,Membrane Form-finding · Digital Fabrication,Smooth composite hyperbolic membrane structure construction,"Digital FUTURES 2023, supervisor Ting Cao",Team member,https://www.ruyiyang.com/home/membrane,
1.0,FitMe,AI Agent,2025.0,medium,1.0,Agent; Multimodal; GenAI; Fashion,Multimodal LLM · Image Segmentation · Agent Pipeline · Gradio · Azure,"AI outfit recommendation agent: image segmentation + multimodal integration + LLM, Gradio UI",Microsoft AI Agents Hackathon,Builder,https://www.ruyiyang.com/home/fitme,https://github.com/Emmmmmmaa/FitMe
2.0,SkinMe,AI Agent,2025.0,medium,1.0,Agent; MLOps; Recommendation,FastAPI · Docker · CI/CD · GCP Vertex AI,"Skincare recommendation agent, end-to-end data pipeline / model serving / product UX","Harvard AC215 (MLOps), Fall 2025",Team member,https://medium.com/@jingrui_liu/your-skincare-routine-deserves-better-how-ai-is-solving-the-90-billion-guessing-game-14ad259ec3d7,
